City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,78,75,3,14.58,PF,2023-02-04 20:57:37
1,busselton,-33.65,115.3333,72,45,80,8.05,AU,2023-02-04 20:57:39
2,rocha,-34.4833,-54.3333,66,92,68,16.55,UY,2023-02-04 20:57:41
3,atambua,-9.1061,124.8925,72,91,100,1.72,ID,2023-02-04 20:57:42
4,tera,14.0078,0.7531,82,15,25,9.57,NE,2023-02-04 20:57:44
5,hermanus,-34.4187,19.2345,66,93,24,7.18,ZA,2023-02-04 20:53:59
6,butaritari,3.0707,172.7902,81,80,66,19.69,KI,2023-02-04 20:53:56
7,jamestown,42.097,-79.2353,26,27,48,8.01,US,2023-02-04 20:53:25
8,faanui,-16.4833,-151.75,81,71,70,19.13,PF,2023-02-04 20:57:46
9,norman wells,65.282,-126.8329,-14,64,75,3.44,CA,2023-02-04 20:57:47
10,wickford,51.611,0.5233,48,77,75,6.91,GB,2023-02-04 20:57:48
11,cape town,-33.9258,18.4232,71,86,20,10.36,ZA,2023-02-04 20:52:55
12,grindavik,63.8424,-22.4338,37,70,75,24.16,IS,2023-02-04 20:55:35
13,lasa,46.6166,10.7002,36,83,37,9.31,IT,2023-02-04 20:53:23
14,punta arenas,-53.15,-70.9167,50,93,100,6.91,CL,2023-02-04 20:57:50
15,bathsheba,13.2167,-59.5167,83,69,40,21.85,BB,2023-02-04 20:53:48
16,meulaboh,4.1363,96.1285,74,88,97,3.6,ID,2023-02-04 20:57:53
17,port alfred,-33.5906,26.891,73,88,100,15.57,ZA,2023-02-04 20:54:24
18,progreso,21.2833,-89.6667,73,73,72,17.45,MX,2023-02-04 20:54:30
19,baykit,61.67,96.37,2,100,99,1.68,RU,2023-02-04 20:57:56
20,port elizabeth,-33.918,25.5701,75,63,100,6.02,ZA,2023-02-04 20:55:13
21,severo-kurilsk,50.6789,156.125,25,73,100,6.22,RU,2023-02-04 20:56:07
22,vila velha,-20.3297,-40.2925,85,81,0,16.11,BR,2023-02-04 20:57:59
23,helong,42.5397,128.9972,10,79,74,6.96,CN,2023-02-04 20:58:00
24,mao,39.8885,4.2658,55,71,0,13.8,ES,2023-02-04 20:55:01
25,ola,59.5833,151.2833,-14,88,60,8.12,RU,2023-02-04 20:58:05
26,castro,-24.7911,-50.0119,68,91,73,7.72,BR,2023-02-04 20:55:48
27,esperance,-33.8667,121.9,63,71,0,14.76,AU,2023-02-04 20:58:05
28,tasiilaq,65.6145,-37.6368,24,81,100,16.15,GL,2023-02-04 20:55:42
29,albany,42.6001,-73.9662,12,46,61,1.01,US,2023-02-04 20:55:44
30,lakes entrance,-37.8811,147.981,61,72,45,12.62,AU,2023-02-04 20:58:07
31,quelimane,-17.8786,36.8883,80,88,20,5.01,MZ,2023-02-04 20:56:42
32,broken hill,-31.95,141.4333,60,57,0,11.77,AU,2023-02-04 20:56:49
33,sampit,-2.5333,112.95,72,98,100,2.08,ID,2023-02-04 20:55:51
34,kushima,31.4583,131.2333,45,86,100,4.68,JP,2023-02-04 20:58:09
